id;orderid;datetime;amount;currency;cardtype;transaction_status;client
1;57212;2022-08-12T06:40:42;19975;AED;MASTER;DECLINED;Soft Ergonomic Consultant
2;76027;2022-08-12T10:04:41;81640;USD;MASTER;DECLINED;Cheese e-services invoice
3;59269;2022-08-12T00:13:58;5609;USD;MASTER;APPROVED;Belize Dollar Dominica synergistic
4;53773;2022-08-12T18:28:52;38290;USD;VISA;APPROVED;Licensed Soft Keyboard
5;2489;2022-08-12T03:38:43;2766;AED;MASTER;REFUNDED;plum
6;95091;2022-08-11T21:31:00;97774;USD;VISA;DECLINED;Sports
7;41729;2022-08-12T09:46:22;41646;AED;MASTER;REFUNDED;web services open-source
8;63838;2022-08-12T10:03:42;16232;USD;VISA;REFUNDED;transform
9;21920;2022-08-12T09:04:15;96909;AED;MASTER;APPROVED;Producer Plaza
10;95167;2022-08-11T21:43:37;54960;AED;MASTER;DECLINED;capacitor bus experiences
